feature,importance_gain,importance_split
ind_L079_neg_soft_seating_furniture,568.7313459543511,28
ind_L079_neg_absence_of_water_fixture,500.9583710730076,21
ind_L079_neg_absence_of_cooking_appliances,315.45552522689104,19
scene_complexity,139.4292663751985,64
count_chair,119.87145139556378,33
ind_L079_neg_absence_of_hard_prep_surfaces,65.84128690883517,25
num_unique_classes,60.8835656195879,36
total_object_count,47.20735589414835,25
vertical_spread,43.15115072601475,83
ind_L079_neg_no_water_fixture,38.01913505606353,12
ind_L079_neg_no_hard_prep_surfaces,36.24964427947998,8
depth_diff_desk_chair,30.452545976266265,8
std_object_area,26.490809842711315,52
scene_depth_median_m,25.406571698375046,50
presence_oven,21.238783840090036,14
depth_diff_chair_chair,20.48951046168804,65
ind_L079_neg_no_cooking_appliances,19.4197998046875,1
largest_object_area,17.49732620525174,31
ind_L079_neg_no_stove_or_oven,13.950831569731236,9
depth_diff_desk_monitor,13.178205974400043,2
scene_depth_std_m,12.78875795379281,45
furniture_clutter_index,12.636551502393559,37
presence_bowl,12.122423082590103,6
scene_depth_range_m,12.117161388508976,48
dist_chair_chair,10.489139994606376,38
dist_stove_sink,8.087402561679482,9
mean_object_area,7.952901442331495,39
dist_desk_monitor,7.8917925246059895,3
ind_L079_pos_sink,7.1013855040073395,12
ind_L079_neg_no_sink,6.974530220031738,1
presence_cup,6.722092676907778,9
free_floor_fraction,6.567093374324031,31
count_potted_plant,6.454783936962485,11
depth_diff_sofa_chair,6.356318756937981,2
presence_sink,6.298599913716316,3
presence_tv,5.9335198402404785,1
presence_refrigerator,5.761180836707354,7
presence_potted_plant,4.134664960205555,7
dist_sofa_chair,3.863529920578003,1
total_stuff_count,3.72438255045563,21
count_bottle,3.1973103433847427,10
count_door_stuff,2.5247484631836414,4
count_light,2.521835658699274,7
ind_L079_neg_dining_table,2.3526456579566,6
presence_door_stuff,2.3223154842853546,6
count_sink,2.1542320288717747,9
ind_L079_neg_wall_mounted_widescreen_tv,2.0550039522349834,10
count_ceiling_merged,1.8650123551487923,3
presence_light,1.5834880322217941,6
count_refrigerator,1.5031173080205917,6
presence_dining_table,1.4390909746289253,2
count_shelf,1.3903130292892456,2
count_bowl,1.3539742901921272,6
depth_diff_stove_sink,1.3306740075349808,4
presence_floor_wood,0.9973368379105523,10
count_window_other,0.9682985059916973,3
ind_L079_pos_stainless_steel_kitchen_sink,0.8462748005986214,5
presence_wine_glass,0.8385089933872223,3
presence_ceiling_merged,0.748091995716095,3
count_cup,0.7361890226602554,2
dist_sink_counter,0.6577630043029785,2
dist_desk_chair,0.6421893984079361,9
presence_chair,0.6037786570377648,4
depth_diff_sink_counter,0.5429643895477057,5
count_wine_glass,0.5010969936847687,2
presence_stairs,0.43859100341796875,1
depth_diff_bed_lamp,0.39290394680574536,4
presence_shelf,0.3746495991945267,2
count_oven,0.34338871017098427,2
count_couch,0.25023800134658813,1
presence_wall_brick,0.24892249330878258,2
dist_bed_wall_proxy,0.2476924659567885,3
count_floor_wood,0.20400099456310272,1
count_wall_brick,0.19420550018548965,2
presence_couch,0.16929000616073608,1
count_vase,0.14398869965225458,4
presence_floor_other_merged,0.13360999524593353,1
count_wall_wood,0.1307338997721672,2
presence_window_other,0.12297609820961952,2
ind_L079_pos_granite_countertops,0.12169649824500084,3
count_dining_table,0.12109190039336681,4
dist_bed_lamp,0.11691100150346756,1
count_book,0.08539950102567673,1
depth_diff_bed_nightstand,0.08006749860942364,2
