threshold,model,precision,recall,f1
2.5,Indicator-LGBM,0.8790057961194341,0.9362947741428753,0.9064174204344322
2.5,LightGBM,0.8868685320010504,0.8626459572063873,0.8662076098451849
2.5,LinearRegression,0.8345480019493177,0.8160139505986568,0.8236503083787923
2.5,Mean,0.6428571428571429,0.8,0.7095542445448789
3.0,Indicator-LGBM,0.9254556554556554,0.850186461708917,0.8839411741162693
3.0,LightGBM,0.9016385040828515,0.7771288124626082,0.8270611501905403
3.0,LinearRegression,0.9126189324302532,0.7177964164421595,0.7886230729329738
3.0,Mean,0.6428571428571429,0.8,0.7095542445448789
3.5,Indicator-LGBM,0.7763342888342889,0.8094977325233165,0.789572490309456
3.5,LightGBM,0.7532366548149753,0.7499808736705942,0.7479947193894069
3.5,LinearRegression,0.7105856595511768,0.6693425072604553,0.6809743808104464
3.5,Mean,0.30952380952380953,0.4,0.34881038211968274
4.0,Indicator-LGBM,0.9000196294933138,0.5724616089269625,0.6794024647057482
4.0,LightGBM,0.8165729327170006,0.45138338727293775,0.5650900569721152
4.0,LinearRegression,0.761654185313733,0.4849762682518032,0.5819335083114611
4.0,Mean,0.1619047619047619,0.2,0.17894736842105263
4.5,Indicator-LGBM,0.5926484368344834,0.8297619047619047,0.6695970695970697
4.5,LightGBM,0.3923588039867109,0.5485714285714286,0.4512820512820513
4.5,LinearRegression,0.27383997077091704,0.44333333333333336,0.3318100664767331
4.5,Mean,0.0,0.0,0.0
5.0,Indicator-LGBM,0.8361904761904763,0.555952380952381,0.6254545454545455
5.0,LightGBM,0.394,0.3028571428571428,0.33999999999999997
5.0,LinearRegression,0.33736559139784944,0.28095238095238095,0.2958152958152958
5.0,Mean,0.0,0.0,0.0
5.5,Indicator-LGBM,0.4866666666666667,0.29545454545454547,0.3380952380952381
5.5,LightGBM,0.12,0.02727272727272727,0.04444444444444444
5.5,LinearRegression,0.22333333333333333,0.1618181818181818,0.18571428571428572
5.5,Mean,0.0,0.0,0.0
