affordance_id,feature_group,n_features,rmse,mae,pearson_r,spearman_rho
L059,presence_only,133,0.7708,0.6298,0.7227,0.6839
L059,presence+counts,266,0.7991,0.6473,0.7063,0.6595
L059,presence+counts+distances,296,0.8374,0.684,0.6882,0.6226
L059,all_features,310,0.8139,0.6581,0.696,0.6535
L079,presence_only,133,0.7989,0.5707,0.7902,0.6027
L079,presence+counts,266,0.7978,0.5542,0.7999,0.5844
L079,presence+counts+distances,296,0.7691,0.5616,0.819,0.6231
L079,all_features,310,0.7783,0.545,0.8016,0.5925
L091,presence_only,133,1.1374,0.7662,-0.008,0.1431
L091,presence+counts,266,1.1397,0.789,-0.0527,0.0787
L091,presence+counts+distances,296,1.1673,0.8242,-0.0779,0.0422
L091,all_features,310,1.1404,0.7908,-0.1562,-0.0626
L130,presence_only,133,1.0086,0.7961,0.567,0.567
L130,presence+counts,266,1.0102,0.8006,0.5593,0.5508
L130,presence+counts+distances,296,0.9742,0.8085,0.58,0.5772
L130,all_features,310,0.9776,0.7902,0.5867,0.5804
L141,presence_only,133,1.3029,0.9797,0.1887,0.2291
L141,presence+counts,266,1.2738,0.9642,0.2369,0.2687
L141,presence+counts+distances,296,1.2868,0.9956,0.2322,0.259
L141,all_features,310,1.1751,0.9122,0.403,0.4033
